step,overall loss
0.0,11.63787841796875
50.0,8.818113327026367
100.0,3.9125475883483887
150.0,3.557349920272827
200.0,3.5207276344299316
250.0,3.275290012359619
300.0,3.227285861968994
350.0,2.95155930519104
400.0,3.0045888423919678
450.0,2.7983298301696777
500.0,2.815211772918701
550.0,2.580753803253174
600.0,2.65222430229187
650.0,2.45394229888916
700.0,2.509918212890625
750.0,2.3412022590637207
800.0,2.394102096557617
850.0,2.21114444732666
900.0,2.306746006011963
950.0,2.125347375869751
1000.0,2.2245070934295654
1050.0,2.108440399169922
1100.0,2.148869752883911
1150.0,2.099848985671997
1200.0,2.096106767654419
1250.0,2.093210458755493
1300.0,2.0904266834259033
1350.0,2.0880067348480225
1400.0,2.085662841796875
1450.0,2.08361554145813
1500.0,2.0816240310668945
1550.0,2.0798778533935547
1600.0,2.078174114227295
1650.0,2.0766756534576416
1700.0,2.075209140777588
1750.0,2.07391619682312
1800.0,2.0726468563079834
1850.0,2.0715253353118896
1900.0,2.0704221725463867
1950.0,2.0694446563720703
2000.0,2.068480968475342
2050.0,2.067625045776367
2100.0,2.066779613494873
2150.0,2.0660274028778076
2200.0,2.0652828216552734
2250.0,2.0646188259124756
2300.0,2.063960075378418
2350.0,2.0633718967437744
2400.0,2.0627875328063965
2450.0,2.0622642040252686
2500.0,2.061743974685669
2550.0,2.061277151107788
2600.0,2.060811996459961
2650.0,2.060394287109375
2700.0,2.0599770545959473
2750.0,2.0596022605895996
2800.0,2.059227466583252
2850.0,2.058889389038086
2900.0,2.058551549911499
2950.0,2.058246612548828
3000.0,2.057941198348999
3050.0,2.0576651096343994
3100.0,2.0573883056640625
3150.0,2.0571374893188477
3200.0,2.0568861961364746
3250.0,2.0566577911376953
3300.0,2.056429147720337
3350.0,2.0562214851379395
3400.0,2.0560123920440674
3450.0,2.0558226108551025
3500.0,2.055631399154663
3550.0,2.055457830429077
3600.0,2.0552828311920166
3650.0,2.055123805999756
3700.0,2.0549628734588623
3750.0,2.054816484451294
3800.0,2.054668664932251
3850.0,2.0545341968536377
3900.0,2.05439829826355
3950.0,2.054274082183838
4000.0,2.0541484355926514
4050.0,2.054034471511841
4100.0,2.0539186000823975
4150.0,2.0538125038146973
4200.0,2.0537056922912598
4250.0,2.053607940673828
4300.0,2.0535085201263428
4350.0,2.053417921066284
4400.0,2.053325891494751
4450.0,2.0532419681549072
4500.0,2.053156614303589
4550.0,2.0530786514282227
4600.0,2.052999496459961
4650.0,2.052927017211914
4700.0,2.0528531074523926
4750.0,2.052785634994507
4800.0,2.0527169704437256
4850.0,2.0526540279388428
4900.0,2.0525901317596436
4950.0,2.0525317192077637
5000.0,2.0524721145629883
5050.0,2.052417516708374
5100.0,2.0523619651794434
5150.0,2.0523107051849365
5200.0,2.0522589683532715
5250.0,2.052211284637451
5300.0,2.0521628856658936
5350.0,2.0521183013916016
5400.0,2.0520730018615723
5450.0,2.0520308017730713
5500.0,2.0519886016845703
5550.0,2.0519497394561768
5600.0,2.0519096851348877
5650.0,2.051873207092285
5700.0,2.0518360137939453
5750.0,2.051801919937134
5800.0,2.051767110824585
5850.0,2.0517349243164062
5900.0,2.0517022609710693
5950.0,2.0516719818115234
6000.0,2.0516414642333984
6050.0,2.0516130924224854
6100.0,2.051584243774414
6150.0,2.051558017730713
6200.0,2.0515308380126953
6250.0,2.0515060424804688
6300.0,2.051480293273926
6350.0,2.051457166671753
6400.0,2.051433563232422
6450.0,2.0514113903045654
6500.0,2.051389217376709
6550.0,2.051368236541748
6600.0,2.051347255706787
6650.0,2.051327705383301
6700.0,2.0513079166412354
6750.0,2.0512897968292236
6800.0,2.0512709617614746
6850.0,2.0512540340423584
6900.0,2.051236629486084
6950.0,2.051220417022705
7000.0,2.051203966140747
7050.0,2.0511889457702637
7100.0,2.051173448562622
7150.0,2.051158905029297
7200.0,2.0511438846588135
7250.0,2.051131248474121
7300.0,2.0511176586151123
7350.0,2.051104784011841
7400.0,2.0510921478271484
7450.0,2.0510799884796143
7500.0,2.051067590713501
7550.0,2.0510566234588623
7600.0,2.0510449409484863
7650.0,2.051034688949585
7700.0,2.0510241985321045
7750.0,2.0510141849517822
7800.0,2.051003932952881
7850.0,2.050994873046875
7900.0,2.050985097885132
7950.0,2.0509767532348633
8000.0,2.0509674549102783
8050.0,2.050959348678589
8100.0,2.0509510040283203
8150.0,2.050942897796631
8200.0,2.0509352684020996
8250.0,2.0509278774261475
8300.0,2.050920248031616
8350.0,2.0509133338928223
8400.0,2.050906181335449
8450.0,2.0508997440338135
8500.0,2.0508933067321777
8550.0,2.0508873462677
8600.0,2.0508813858032227
8650.0,2.050875663757324
8700.0,2.0508697032928467
8750.0,2.0508644580841064
8800.0,2.050859212875366
8850.0,2.050853967666626
8900.0,2.0508484840393066
8950.0,2.0508437156677246
9000.0,2.0508391857147217
9050.0,2.0508344173431396
9100.0,2.0508296489715576
9150.0,2.050826072692871
9200.0,2.050821542739868
9250.0,2.0508177280426025
9300.0,2.050814151763916
9350.0,2.0508105754852295
9400.0,2.050806999206543
9450.0,2.0508034229278564
9500.0,2.050800323486328
9550.0,2.0507967472076416
9600.0,2.0507936477661133
9650.0,2.050790548324585
9700.0,2.0507874488830566
9750.0,2.0507845878601074
9800.0,2.050781726837158
9850.0,2.050778865814209
9900.0,2.0507757663726807
9950.0,2.0507733821868896
