z_center_nm,z_left_nm,z_right_nm,rho_density
-6.8755267715454105,-8.458213806152344,-5.292839736938477,0.0
-3.7101527023315435,-5.292839736938477,-2.1274656677246098,6.226129603056631e-06
-0.544778633117676,-2.1274656677246098,1.0379084014892577,6.595085431385913e-05
2.620595436096191,1.0379084014892577,4.203282470703124,8.555163269385226e-05
5.7859695053100575,4.203282470703124,7.368656539916991,8.301506137408845e-05
8.951343574523925,7.368656539916991,10.534030609130859,0.00010907256674984392
12.116717643737791,10.534030609130859,13.699404678344724,5.626576382021553e-05
15.282091712951658,13.699404678344724,16.864778747558592,3.966275154539779e-05
18.447465782165526,16.864778747558592,20.03015281677246,5.580456903480387e-05
21.61283985137939,20.03015281677246,23.195526885986325,0.00010815017717902084
24.77821392059326,23.195526885986325,26.360900955200194,0.00011368451460395995
27.943587989807128,26.360900955200194,29.526275024414062,8.024789266161878e-05
31.108962059020996,29.526275024414062,32.69164909362793,8.555163269385222e-05
34.274336128234864,32.69164909362793,35.85702316284179,9.270015186773225e-05
37.439710197448726,35.85702316284179,39.02239723205566,5.580456903480387e-05
40.605084266662594,39.02239723205566,42.18777130126953,5.787994556915608e-05
43.77045833587646,42.18777130126953,45.3531453704834,7.240758130962155e-05
46.93583240509033,45.3531453704834,48.518519439697265,5.050082900257044e-05
50.10120647430419,48.518519439697265,51.683893508911126,0.00011783526767266463
53.26658054351806,51.683893508911126,54.849267578124994,0.0001434315782630083
56.43195461273193,54.849267578124994,58.01464164733886,0.00010307703453949311
59.5973286819458,58.01464164733886,61.18001571655273,6.618145170656492e-05
62.762702751159665,61.18001571655273,64.3453897857666,0.00010584420325196272
65.92807682037353,64.3453897857666,67.51076385498047,0.00012521438423925
69.0934508895874,67.51076385498047,70.67613792419434,1.5450025311288675e-05
72.25882495880127,70.67613792419434,73.8415119934082,0.0
75.42419902801512,73.8415119934082,77.00688606262206,2.5135115804932435e-05
78.58957309722899,77.00688606262206,80.17226013183593,2.4212726234109116e-05
81.75494716644286,80.17226013183593,83.3376342010498,0.0001651077331773536
84.92032123565673,83.3376342010498,86.50300827026366,9.223895708232044e-05
88.0856953048706,86.50300827026366,89.66838233947753,6.964041259715194e-05
91.25106937408447,89.66838233947753,92.8337564086914,3.4359011513164365e-05
94.41644344329833,92.8337564086914,95.99913047790527,7.886430830538399e-05
97.5818175125122,95.99913047790527,99.16450454711914,8.25538665886768e-05
100.74719158172607,99.16450454711914,102.329878616333,0.00014297038347759668
103.91256565093994,102.329878616333,105.49525268554687,0.00010353822932490468
107.07793972015381,105.49525268554687,108.66062675476074,8.785760662091022e-05
110.24331378936768,108.66062675476074,111.8260008239746,9.61591127583195e-05
113.40868785858153,111.8260008239746,114.99137489318846,9.108597011879144e-05
116.5740619277954,114.99137489318846,118.15674896240233,3.5511998476693374e-05
119.73943599700927,118.15674896240233,121.3221230316162,7.632773698562017e-05
122.90481006622313,121.3221230316162,124.48749710083007,0.00011276212503313676
126.070184135437,124.48749710083007,127.65287117004394,7.402176305856215e-05
129.23555820465089,127.65287117004394,130.8182452392578,6.13389064597431e-05
132.40093227386473,130.8182452392578,133.98361930847167,8.34762561595e-05
135.56630634307862,133.98361930847167,137.14899337768554,5.073142639527625e-05
138.73168041229246,137.14899337768554,140.3143674468994,0.000630683869050366
141.89705448150636,140.3143674468994,143.47974151611328,0.00930875554874778
145.0624285507202,143.47974151611328,146.64511558532715,0.05144627831266423
148.2278026199341,146.64511558532715,149.81048965454102,0.08716558384540012
151.39317668914794,149.81048965454102,152.97586372375488,0.08982806134158129
154.55855075836183,152.97586372375488,156.14123779296875,0.05729491998386146
157.72392482757567,156.14123779296875,159.30661186218262,0.012550724292798639
160.88929889678954,159.30661186218262,162.47198593139646,0.0006299920768722543
164.0546729660034,162.47198593139646,165.63736000061033,0.00016487713578464778
167.22004703521725,165.63736000061033,168.8027340698242,8.25538665886768e-05
170.38542110443115,168.8027340698242,171.96810813903807,5.073142639527625e-05
173.55079517364499,171.96810813903807,175.13348220825193,0.00010261583975408149
176.71616924285888,175.13348220825193,178.2988562774658,0.00010976435892796133
179.88154331207272,178.2988562774658,181.46423034667967,7.632773698562017e-05
183.04691738128662,181.46423034667967,184.62960441589354,3.066945322987155e-05
186.21229145050046,184.62960441589354,187.7949784851074,2.5596310590343924e-05
189.37766551971436,187.7949784851074,190.96035255432128,6.387547777950691e-05
192.5430395889282,190.96035255432128,194.12572662353514,8.970238576255664e-05
195.7084136581421,194.12572662353514,197.291100692749,9.154716490420304e-05
198.87378772735593,197.291100692749,200.45647476196288,0.00012521438423925
202.03916179656983,200.45647476196288,203.62184883117675,7.540534741479696e-05
205.20453586578367,203.62184883117675,206.78722290039062,8.739641183549862e-05
208.36990993499757,206.78722290039062,209.95259696960449,6.664264649197653e-05
211.5352840042114,209.95259696960449,213.11797103881835,8.647402226467543e-05
214.7006580734253,213.11797103881835,216.28334510803222,5.949412731809668e-05
217.86603214263914,216.28334510803222,219.4487191772461,8.140087962514779e-05
221.03140621185304,219.4487191772461,222.61409324645996,5.649636121292128e-05
224.19678028106688,222.61409324645996,225.77946731567383,5.926352992539089e-05
227.36215435028075,225.77946731567383,228.94484138488767,0.0001309793190568962
230.52752841949462,228.94484138488767,232.11021545410154,0.00012037183899242817
233.69290248870846,232.11021545410154,235.2755895233154,8.25538665886768e-05
236.85827655792235,235.2755895233154,238.44096359252927,5.880233513997928e-05
240.0236506271362,238.44096359252927,241.60633766174314,0.00010261583975408149
243.1890246963501,241.60633766174314,244.771711730957,7.356056827315055e-05
246.35439876556396,244.771711730957,247.9370858001709,8.578223008655724e-05
249.51977283477783,247.9370858001709,251.10245986938475,4.196872547245618e-05
252.6851469039917,251.10245986938475,254.26783393859864,5.07314263952758e-05
255.85052097320556,254.26783393859864,257.4332080078125,6.871802302632935e-05
259.0158950424194,257.4332080078125,260.5985820770264,0.0001194494494216039
262.1812691116333,260.5985820770264,263.7639561462402,5.511277685668697e-05
265.34664318084714,263.7639561462402,266.92933021545406,4.6350075933866435e-05
268.51201725006104,266.92933021545406,270.09470428466796,7.817251612726587e-05
271.6773913192749,270.09470428466796,273.2600783538818,0.00011137854067690294
