z_center_nm,z_left_nm,z_right_nm,rho_density
-6.174924392700195,-7.7306671142578125,-4.619181671142578,0.0
-3.063438949584961,-4.619181671142578,-1.5076962280273438,6.568552730851596e-06
0.048046493530272905,-1.5076962280273438,1.6037892150878896,9.852829096277398e-06
3.1595319366455072,1.6037892150878896,4.715274658203125,9.195973823192232e-05
6.2710173797607425,4.715274658203125,7.82676010131836,0.00011377671694510797
9.382502822875976,7.82676010131836,10.938245544433592,6.6154709646434e-05
12.49398826599121,10.938245544433592,14.049730987548827,4.034968106094551e-05
15.605473709106445,14.049730987548827,17.161216430664062,6.216665977413116e-05
18.71695915222168,17.161216430664062,20.272701873779297,2.7447166768201303e-05
21.828444595336915,20.272701873779297,23.384187316894533,3.8472951709273625e-05
24.93993003845215,23.384187316894533,26.495672760009768,7.835345043230116e-05
28.051415481567382,26.495672760009768,29.607158203124996,0.0001229257725345087
31.162900924682614,29.607158203124996,32.71864364624023,4.1053454567822465e-05
34.274386367797845,32.71864364624023,35.83012908935547,1.5952199489211014e-05
37.38587181091309,35.83012908935547,38.9416145324707,2.4162890402775508e-05
40.497357254028316,38.9416145324707,42.05309997558594,1.571760832025203e-05
43.60884269714356,42.05309997558594,45.16458541870117,8.234150030460391e-05
46.720328140258786,45.16458541870117,48.27607086181641,7.694590341854725e-05
49.83181358337403,48.27607086181641,51.38755630493164,2.815094027507826e-05
52.94329902648926,51.38755630493164,54.49904174804688,2.557043741652942e-05
56.05478446960449,54.49904174804688,57.610527191162106,3.120062547154515e-05
59.16626991271973,57.610527191162106,60.72201263427735,5.770942756391031e-05
62.27775535583496,60.72201263427735,63.833498077392576,2.7447166768201367e-05
65.3892407989502,63.833498077392576,66.9449835205078,6.89698036739419e-05
68.50072624206543,66.9449835205078,70.05646896362305,4.8091189636591916e-05
71.61221168518065,70.05646896362305,73.16795440673827,3.565785768176588e-05
74.7236971282959,73.16795440673827,76.27943984985352,6.779684782914666e-05
77.83518257141114,76.27943984985352,79.39092529296875,5.37213776916078e-05
80.94666801452637,79.39092529296875,82.50241073608399,3.1200625471545006e-05
84.0581534576416,82.50241073608399,85.61389617919922,8.257609147356309e-05
87.16963890075684,85.61389617919922,88.72538162231446,8.961382654233227e-05
90.28112434387208,88.72538162231446,91.83686706542969,7.55383564047935e-05
93.3926097869873,91.83686706542969,94.94835250854491,9.149055589400455e-05
96.50409523010254,94.94835250854491,98.05983795166016,2.4866663909652405e-05
99.61558067321778,98.05983795166016,101.17132339477538,4.1288045736781545e-05
102.727066116333,101.17132339477538,104.28280883789063,4.8325780805550914e-05
105.83855155944823,104.28280883789063,107.39429428100586,3.448490183697095e-05
108.95003700256348,107.39429428100586,110.5057797241211,3.5423266512806733e-05
112.06152244567872,110.5057797241211,113.61726516723633,5.88823834087055e-05
115.17300788879395,113.61726516723633,116.72875061035157,8.163772679772678e-05
118.28449333190918,116.72875061035157,119.8402360534668,3.19043989784221e-05
121.39597877502442,119.8402360534668,122.95172149658202,3.284276365425805e-06
124.50746421813965,122.95172149658202,126.06320693969727,2.2755343389021545e-05
127.61894966125489,126.06320693969727,129.1746923828125,9.125596472504516e-05
130.73043510437012,129.1746923828125,132.28617782592772,8.891005303545613e-05
133.84192054748536,132.28617782592772,135.39766326904297,6.216665977413101e-05
136.95340599060057,135.39766326904297,138.5091487121582,0.00010978866707280497
140.06489143371581,138.5091487121582,141.62063415527342,0.0016810803167601016
143.17637687683106,141.62063415527342,144.73211959838866,0.021650888165562644
146.28786231994627,144.73211959838866,147.8436050415039,0.0705539978379216
149.39934776306154,147.8436050415039,150.95509048461915,0.09341443807063679
152.51083320617676,150.95509048461915,154.06657592773436,0.08410445293933126
155.62231864929197,154.06657592773436,157.1780613708496,0.03955793586570884
158.73380409240724,157.1780613708496,160.28954681396485,0.005359469846036971
161.84528953552245,160.28954681396485,163.4010322570801,0.0002955848728883211
164.9567749786377,163.4010322570801,166.5125177001953,0.00011260376110031383
168.06826042175294,166.5125177001953,169.62400314331055,5.020251015722279e-05
171.17974586486815,169.62400314331055,172.7354885864258,5.1610057170976695e-05
174.2912313079834,172.7354885864258,175.846974029541,5.2548421846813116e-05
177.40271675109864,175.846974029541,178.95845947265624,3.9880498723027446e-05
180.51420219421385,178.95845947265624,182.0699449157715,2.744716676820124e-05
183.62568763732912,182.0699449157715,185.18143035888673,7.295785354624433e-05
186.73717308044434,185.18143035888673,188.29291580200194,6.451257146372146e-05
189.84865852355955,188.29291580200194,191.40440124511719,5.020251015722279e-05
192.96014396667482,191.40440124511719,194.51588668823243,1.9471067023595753e-05
196.07162940979003,194.51588668823243,197.62737213134764,5.7474836394951845e-05
199.18311485290525,197.62737213134764,200.73885757446288,6.568552730851579e-05
202.29460029602052,200.73885757446288,203.85034301757813,7.882263277021895e-05
205.40608573913573,203.85034301757813,206.96182846069337,3.8942134047191506e-05
208.51757118225098,206.96182846069337,210.07331390380858,7.131571536353209e-05
211.62905662536622,210.07331390380858,213.18479934692382,4.081886339886339e-05
214.74054206848143,213.18479934692382,216.29628479003907,5.5598107043279445e-05
217.85202751159667,216.29628479003907,219.40777023315428,7.225408003936804e-05
220.96351295471192,219.40777023315428,222.51925567626952,5.536351587432046e-05
224.07499839782713,222.51925567626952,225.63074111938477,6.310502444996697e-05
227.1864838409424,225.63074111938477,228.7422265625,1.9471067023595753e-05
230.29796928405761,228.7422265625,231.85371200561522,4.55106867780435e-05
