z_center_nm,z_left_nm,z_right_nm,rho_density
-8.483820991516113,-10.085441589355469,-6.882200393676758,0.0
-5.280579795837403,-6.882200393676758,-3.678959197998047,6.836141545794006e-06
-2.0773386001586918,-3.678959197998047,-0.47571800231933636,0.00032836266558297205
1.125902595520019,-0.47571800231933636,2.7275231933593744,0.0021709306835593165
4.32914379119873,2.7275231933593744,5.930764389038085,0.003112267374415151
7.532384986877441,5.930764389038085,9.134005584716796,0.002946377006237217
10.735626182556151,9.134005584716796,12.337246780395507,0.0030705669109858075
13.938867378234862,12.337246780395507,15.540487976074218,0.0031715139344786992
17.142108573913575,15.540487976074218,18.74372917175293,0.003461366336020365
20.345349769592282,18.74372917175293,21.94697036743164,0.0034335660270674692
23.548590965270993,21.94697036743164,25.150211563110346,0.0030687439399069327
26.751832160949704,25.150211563110346,28.35345275878906,0.003251268919179626
29.955073356628418,28.35345275878906,31.556693954467775,0.0035199292819293295
33.15831455230713,31.556693954467775,34.75993515014648,0.003532006465326907
36.36155574798583,34.75993515014648,37.96317634582519,0.0032594722890345856
39.56479694366455,37.96317634582519,41.166417541503904,0.002970531373032352
42.76803813934326,41.166417541503904,44.36965873718262,0.0031655892784723406
45.971279335021975,44.36965873718262,47.572899932861326,0.003156474423077956
49.174520530700676,47.572899932861326,50.77614112854003,0.003084239194077399
52.37776172637939,50.77614112854003,53.97938232421875,0.0035240309668568065
55.581002922058104,53.97938232421875,57.18262351989746,0.002903765057268431
58.78424411773681,57.18262351989746,60.38586471557616,0.002995141482597224
61.98748531341552,60.38586471557616,63.589105911254876,0.002906955256656468
65.19072650909423,63.589105911254876,66.79234710693359,0.0031870091886491625
68.39396770477295,66.79234710693359,69.9955883026123,0.0032284817806936456
71.59720890045166,69.9955883026123,73.19882949829102,0.003455897422783726
74.80045009613036,73.19882949829102,76.40207069396972,0.0035732511859865386
78.00369129180908,76.40207069396972,79.60531188964843,0.003090619592853467
81.20693248748779,79.60531188964843,82.80855308532715,0.003204099542513647
84.4101736831665,82.80855308532715,86.01179428100585,0.003151916995380767
87.6134148788452,86.01179428100585,89.21503547668456,0.0033677111968429835
90.81665607452392,89.21503547668456,92.41827667236328,0.0030461846728058054
94.01989727020263,92.41827667236328,95.62151786804199,0.0031532842236899118
97.22313846588135,95.62151786804199,98.8247590637207,0.0028253773008766595
100.42637966156005,98.8247590637207,102.0280002593994,0.0031396119405983375
103.62962085723876,102.0280002593994,105.23124145507812,0.003159664622465986
106.83286205291748,105.23124145507812,108.43448265075683,0.0027319500330841417
110.03610324859619,108.43448265075683,111.63772384643553,0.0027704602971254603
113.23934444427489,111.63772384643553,114.84096504211425,0.003064870126364309
116.4425856399536,114.84096504211425,118.04420623779296,0.003185186217570284
119.64582683563232,118.04420623779296,121.24744743347168,0.003513093140383536
122.84906803131103,121.24744743347168,124.45068862915039,0.00359900065247568
126.05230922698975,124.45068862915039,127.6539298248291,0.003643891315293061
129.25555042266845,127.6539298248291,130.8571710205078,0.0034021197759568434
132.45879161834716,130.8571710205078,134.0604122161865,0.00325742144657084
135.66203281402585,134.0604122161865,137.26365341186522,0.003556388703506898
138.8652740097046,137.26365341186522,140.46689460754394,0.0029338440800699243
142.06851520538328,140.46689460754394,143.67013580322265,0.003286133241063175
