protein,has_slab,core1_nm,core2_nm,discard_frac,n_bins,dt_ns,box_x_nm,box_y_nm,box_z_nm,profile_csv,time_density_csv,zbin_csv
A1-LCD+12D,True,139.05689113616944,161.90104122161864,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus12D_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus12D_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus12D_z_bins.csv
A1-LCD+12E,True,137.7379886507988,160.55411957502366,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus12E_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus12E_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus12E_z_bins.csv
A1-LCD+2R,True,139.28526565551758,162.00970535278321,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus2R_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus2R_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus2R_z_bins.csv
A1-LCD+7K+12D,True,142.66072723388672,165.50479217529298,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Kplus12D_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Kplus12D_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Kplus12D_z_bins.csv
A1-LCD-9F+6Y,True,137.09023418426514,159.8511024093628,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus9Fplus6Y_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus9Fplus6Y_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus9Fplus6Y_z_bins.csv
A1-LCD-3R+3K,True,139.56631209135054,162.44295490980147,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus3Rplus3K_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus3Rplus3K_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus3Rplus3K_z_bins.csv
A1-LCD-8F+4Y,True,137.56034297943114,160.3562685775757,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus8Fplus4Y_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus8Fplus4Y_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus8Fplus4Y_z_bins.csv
A1-LCD-Y2W,True,137.12959880828856,159.79652660369874,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusY2W_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusY2W_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusY2W_z_bins.csv
A1-LCD-F2W,True,139.04844911575316,161.83147783279418,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusF2W_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusF2W_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusF2W_z_bins.csv
A1-LCD-allW,True,137.7795379638672,160.2375506591797,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusallW_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusallW_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusallW_z_bins.csv
A1-LCD-W-,True,137.99436740875245,160.80997745513918,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusWminus_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusWminus_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusWminus_z_bins.csv
