z_center_nm,z_left_nm,z_right_nm,rho_density
-7.791782798767089,-9.391273498535156,-6.192292098999023,0.0
-4.592801399230957,-6.192292098999023,-2.9933106994628904,1.0496041752738917e-05
-1.3938199996948244,-2.9933106994628904,0.20567070007324162,0.0005170441437327476
1.8051613998413085,0.20567070007324162,3.4046520996093754,0.00212544845492963
5.004142799377442,3.4046520996093754,6.603633499145509,0.0028348439725223535
8.203124198913574,6.603633499145509,9.80261489868164,0.0028791098877404293
11.402105598449706,9.80261489868164,13.001596298217773,0.002466341637072933
14.60108699798584,13.001596298217773,16.200577697753907,0.002373930834684688
17.800068397521976,16.200577697753907,19.39955909729004,0.0027762030435994423
20.999049797058106,19.39955909729004,22.598540496826175,0.0029792786340328693
24.19803119659424,22.598540496826175,25.797521896362305,0.002533653209182892
27.39701259613037,25.797521896362305,28.996503295898435,0.003085836275305244
30.595993995666504,28.996503295898435,32.19548469543457,0.0029060345165844055
33.79497539520264,32.19548469543457,35.3944660949707,0.002710488695234471
36.99395679473877,35.3944660949707,38.59344749450684,0.002470220609025029
40.1929381942749,38.59344749450684,41.79242889404297,0.0030737430098075227
43.39191959381104,41.79242889404297,44.9914102935791,0.003318574592431194
46.59090099334717,44.9914102935791,48.19039169311524,0.0031830387489284275
49.7898823928833,48.19039169311524,51.38937309265137,0.0030684949889311537
52.98886379241944,51.38937309265137,54.588354492187506,0.00270181805204742
56.18784519195557,54.588354492187506,57.78733589172363,0.0024565301197823374
59.3868265914917,57.78733589172363,60.986317291259766,0.002822294357383206
62.585807991027835,60.986317291259766,64.1852986907959,0.0024871055457576963
65.78478939056396,64.1852986907959,67.38428009033203,0.002519506370298771
68.9837707901001,67.38428009033203,70.58326148986816,0.002605300102886365
72.18275218963623,70.58326148986816,73.7822428894043,0.0027221256110907628
75.38173358917237,73.7822428894043,76.98122428894044,0.0030513818773777682
78.58071498870851,76.98122428894044,80.18020568847656,0.002909685313715806
81.77969638824463,80.18020568847656,83.3791870880127,0.0027844173371450614
84.97867778778077,83.3791870880127,86.57816848754884,0.0032480685728312666
88.17765918731689,86.57816848754884,89.77714988708496,0.003544695839756512
91.37664058685303,89.77714988708496,92.9761312866211,0.003557017280074929
94.57562198638917,92.9761312866211,96.17511268615723,0.0033986639545009988
97.7746033859253,96.17511268615723,99.37409408569336,0.0036829697811078125
100.97358478546143,99.37409408569336,102.5730754852295,0.002834159448060215
104.17256618499756,102.5730754852295,105.77205688476563,0.0029021555446323063
107.37154758453369,105.77205688476563,108.97103828430176,0.003346183745737319
110.57052898406982,108.97103828430176,112.1700196838379,0.0030924533451058764
113.76951038360596,112.1700196838379,115.36900108337403,0.0033199436413554567
116.9684917831421,115.36900108337403,118.56798248291017,0.0032555983419147536
120.16747318267824,118.56798248291017,121.7669638824463,0.0028651912236770083
123.36645458221436,121.7669638824463,124.96594528198241,0.00246474441332797
126.56543598175048,124.96594528198241,128.16492668151855,0.002436678910380407
129.76441738128662,128.16492668151855,131.3639080810547,0.0026374727526067166
132.96339878082276,131.3639080810547,134.56288948059083,0.0032537729433490593
136.1623801803589,134.56288948059083,137.76187088012696,0.0026730680246377443
139.36136157989503,137.76187088012696,140.9608522796631,0.0030486437795292274
142.56034297943114,140.9608522796631,144.1598336791992,0.004067672528827784
145.75932437896728,144.1598336791992,147.35881507873535,0.01009148779561703
148.95830577850342,147.35881507873535,150.55779647827148,0.01930062355954186
152.15728717803955,150.55779647827148,153.75677787780762,0.017067020239594877
155.3562685775757,153.75677787780762,156.95575927734376,0.007378945526996159
