res_group_mapping,scale_hps,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta,final_loss
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.4_10_zeta_2.0_0.0005_gauss_delta_mu_0.25_gauss_width_0.1,2.0,0.0005,1.0,1.0,0.4,0.10949879901712317,0.10240063610195205,0.11582843361232784,0.14088015845311597,0.21987831477132247,0.1700200334748431,0.1514583243199171,-0.19878856241887946,1.189544677734375
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_0.5_0.01_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.01,0.5,1.0,1.0,0.1358096210421508,0.16425577914214592,0.13732673019421937,0.20868922210503504,0.2701375650661001,0.22863430326507286,0.1079433166351297,-0.05039599852619218,2.043879747390747
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_0.0_MDP_w_0.5_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,1.0,0.0,0.5,0.0731097509106716,-0.029344120004748987,0.13633366253548718,0.05448841169316639,0.2615578019860583,0.21817360703599065,0.19767849751978508,-0.5103853875669196,0.66920405626297
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.2_10_zeta_2.0_0.001_gauss_delta_mu_0.25_gauss_width_0.1,2.0,0.001,1.0,1.0,0.2,0.09894104857097728,0.07232903267901512,0.1379336072728603,0.08432987417048843,0.26532119241644836,0.19781109414217574,0.16492827281862288,-0.32929946593317205,0.8261138796806335
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_0.5_0.1_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.1,0.5,1.0,1.0,0.14659439336483993,0.203198819869128,0.13658577709408623,0.20826997778287298,0.27509155181168715,0.2172899711174656,0.08943786252406519,-0.06843522777901027,2.324960231781006
default,train_CL_ah_gau/results/group_default_IDP_w_0.0_OP_w_0.5_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,0.0,0.5,0.0,0.3475086586965896,0.5149398706519764,0.36607338070795753,-0.20945077555106084,0.36539417770182425,0.2842260343865076,0.27509485446435,-0.698306014999962,0.0623061954975128
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.8_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,1.0,1.0,0.8,0.11091738830684157,0.11905550358500731,0.12660940752256036,0.12199709508553686,0.2506273307466923,0.20806923189787588,0.16642942221023277,-0.08126407879290481,1.819155216217041
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_0.5_0.5_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.5,0.5,1.0,1.0,0.17019035301735447,0.2474530837798154,0.14246382227142426,0.21080017147216717,0.3156023644025196,0.2606402153340896,0.08302562574743491,-0.022684682106523395,2.7944977283477783
default,train_CL_ah_gau/results/group_default_IDP_w_0.0_OP_w_1.0_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,0.0,1.0,0.0,0.3683939101366501,0.5485932422219685,0.2968987476079683,-0.12747583020030345,0.4177698907180486,0.33267094562992827,0.23048050575813958,-0.4618708310354919,0.0979926288127899
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.3_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,1.0,1.0,0.3,0.10259090013526745,0.08611401051430696,0.11888792354372607,0.1200634455155496,0.20614011454092152,0.16379508958232716,0.15724139088021521,-0.11988288419245853,1.0028800964355469
