,MOFF2 λ,MJ ε,Biou accessibility information value,Cornette (1987),Bandyopadhyay-Mehler (2008),Jain (2017)
MOFF2 λ,1.0,0.9462577921481163,0.9009735733989717,0.8812343663700567,0.8657881781584876,0.8604644994051404
MJ ε,0.9462577921481163,1.0,0.9500211676732143,0.9071254613727437,0.9064091218267766,0.9103692913679757
Biou accessibility information value,0.9009735733989716,0.9500211676732143,1.0,0.8768216926330937,0.955702022387523,0.8724356711358019
Cornette (1987),0.8812343663700568,0.9071254613727439,0.8768216926330937,1.0,0.8725555345269596,0.8206612932581495
Bandyopadhyay-Mehler (2008),0.8657881781584876,0.9064091218267766,0.955702022387523,0.8725555345269596,1.0,0.8508932408555231
Jain (2017),0.8604644994051404,0.9103692913679757,0.872435671135802,0.8206612932581495,0.850893240855523,1.0
