,MOFF2 Gaussian,Engelman GES (1986),Eisenberg (1984),Tanford (1962),Bandyopadhyay-Mehler (2008),Jain (2017)
MOFF2 Gaussian,1.0,0.10571576755633875,0.17619486997755973,0.1594681636438678,-0.14406938371284708,0.10653617720207649
Engelman GES (1986),0.10571576755633874,1.0,0.9354525008864482,0.8682213597218998,0.7817695299420842,0.7216952663276843
Eisenberg (1984),0.1761948699775597,0.9354525008864482,1.0,0.9718878813662724,0.7844287851200183,0.764195420008599
Tanford (1962),0.1594681636438678,0.8682213597218998,0.9718878813662724,1.0,0.7590023976847587,0.7482899618081797
Bandyopadhyay-Mehler (2008),-0.14406938371284708,0.7817695299420842,0.7844287851200183,0.7590023976847586,1.0,0.8508932408555231
Jain (2017),0.10653617720207649,0.7216952663276842,0.7641954200085989,0.7482899618081797,0.850893240855523,1.0
