,MOFF2 Gaussian,Density profile,Hassanali_nBranch <nbr> (2023),Meek (1980),Wimley-White (1996),HPS-Urry λ,FDewet_a03ws (2024),FDewet_a99SBdisp (2024),FDewet_C36m (2024),PARCH (2023),Kyte-Doolittle (1982),Tanford (1962),Eisenberg (1984),Engelman GES (1986),Janin (1979),Hopp-Woods (1981),Black-Mould (1991),Cornette (1987),MOFF2 λ,MJ ε,Rose (1985),Biou accessibility information value,Bandyopadhyay-Mehler (2008),Jain (2017),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form
MOFF2 Gaussian,0.0,0.6253699527684511,1.0577149988447938,0.9151503369662632,1.029834044549154,1.0089103487012274,1.0807989505199431,1.0342926374207628,1.0061871590489466,1.064050129403748,1.0003167976472174,0.8405318363561323,0.8238051300224403,0.8942842324436613,0.8979681619645228,0.9134218327774742,0.9903118228779323,0.9581871751352832,0.949334171143008,0.9106909993372818,0.9596739186841193,0.9641039930780109,1.144069383712847,0.8934638227979235,1.035200202811814,1.0498005846174634
Density profile,0.6253699527684511,0.0,0.4940354371815654,0.44791000311798856,0.4807581459182465,0.5911826697903855,0.7204985541347028,0.6938879996490936,0.6925477499361152,1.121199812128923,0.8942816951318627,0.6760716807664834,0.665970026769888,0.7398651445479476,0.9645092595989371,0.5719616595734673,0.5430041822799105,0.8119528975604486,0.6260025954287084,0.5974319873124048,0.7991842333422189,0.7185488083138101,0.8356703154723362,0.6668830325397129,0.97041749555682,0.9208813606187524
Hassanali_nBranch <nbr> (2023),1.0577149988447938,0.4940354371815654,0.0,0.3923209295252832,0.4061944912641904,0.4252393345387696,0.5623824534995121,0.60691789796225,0.515915529973299,0.9105252503568997,0.9404708868855027,0.9608125942822588,0.912652811587711,0.9318547653483068,1.0669135291217464,0.5829026264963468,0.5849769544732679,0.6039526132981585,0.4106400783840919,0.47932495002211306,0.695314843094453,0.5817866227857545,0.615578309275717,0.5380168488888679,0.842251821521246,0.82465892880331
Meek (1980),0.9151503369662632,0.44791000311798856,0.3923209295252832,0.0,0.162752087687712,0.18913538759282122,0.17723408810639918,0.20087777468512413,0.19602795042033372,0.5899614970594684,0.4785721794507636,0.4829167709394693,0.42437219759570355,0.4010415372050057,0.6084219553370911,0.2735167158513826,0.22247830679969138,0.4761714887839844,0.3346767827072956,0.32319924769067787,0.4847003395853353,0.3976480118188158,0.42360231033545315,0.29884808779566985,0.7294465427434714,0.8055983036964508
Wimley-White (1996),1.029834044549154,0.4807581459182465,0.4061944912641904,0.162752087687712,0.0,0.09371674423106557,0.1750455160478528,0.2229388368319647,0.24050562515645668,0.6243446301036907,0.5002239606545946,0.48891218752572885,0.41460849025003743,0.3459200555419303,0.4895062015655073,0.14555842629654658,0.22077994577759075,0.3881550078255971,0.2355813965693263,0.2673655880531808,0.3140874643494058,0.25855642677936785,0.30644349860860687,0.290998256199659,0.568165726915468,0.572526451328508
HPS-Urry λ,1.0089103487012274,0.5911826697903855,0.4252393345387696,0.18913538759282122,0.09371674423106557,0.0,0.11421194742917362,0.15727024919660892,0.1684179793403182,0.5384766303462875,0.5770108495690145,0.5328209079856155,0.46063932580169475,0.3565366327843037,0.5071496613354525,0.14485915328107302,0.27887422554655195,0.46511124368817647,0.3604117329646823,0.3684060851789469,0.3777050527433775,0.3167004382280296,0.32742352495413873,0.34125077079013066,0.5754869832071836,0.5805604054295502
FDewet_a03ws (2024),1.0807989505199431,0.7204985541347028,0.5623824534995121,0.17723408810639918,0.1750455160478528,0.11421194742917362,0.0,0.05207907195163308,0.07335393930672018,0.48181603673463125,0.3844498691132129,0.5087622643597127,0.4451924761124417,0.31433404488123484,0.47692561978524695,0.2384057672114297,0.2451762632477722,0.3277245265347595,0.33859925166062954,0.345968906775723,0.35834819811296137,0.31716528915210773,0.29430847095123047,0.3138020479790944,0.47420235453311443,0.49304118128996766
FDewet_a99SBdisp (2024),1.0342926374207628,0.6938879996490936,0.60691789796225,0.20087777468512413,0.2229388368319647,0.15727024919660892,0.05207907195163308,0.0,0.035784247183025086,0.35199329705848315,0.2661104442204093,0.36874577237520767,0.29299814689649883,0.16968337708171488,0.36303058090325535,0.16684794283002247,0.1337518646631104,0.32488875618362156,0.3016160789418578,0.2925279447720146,0.3036345879737613,0.26062994954000573,0.21941629017752695,0.2490972381505624,0.3968372207908617,0.43939686382891985
FDewet_C36m (2024),1.0061871590489466,0.6925477499361152,0.515915529973299,0.19602795042033372,0.24050562515645668,0.1684179793403182,0.07335393930672018,0.035784247183025086,0.0,0.4059924664444381,0.2921435218234878,0.3977041441940842,0.34468609117487503,0.2534376371386866,0.4219289572513172,0.1993342344164385,0.16295022045408736,0.3083330669568436,0.2656576342823387,0.252725735091768,0.31998572304481865,0.2500842988716798,0.2294528952295064,0.17819369653058958,0.4293479964583139,0.4663369417225608
PARCH (2023),1.064050129403748,1.121199812128923,0.9105252503568997,0.5899614970594684,0.6243446301036907,0.5384766303462875,0.48181603673463125,0.35199329705848315,0.4059924664444381,0.0,0.26092664721866343,0.3374604715316223,0.28657463886356005,0.2514082427103954,0.19525189178576774,0.3054903183105173,0.35598065718816785,0.38651117320717143,0.4181974958712842,0.37559897768099015,0.27732378252551204,0.31501719929386185,0.2451315308468438,0.33155308093405167,0.38508761979681383,0.4818182252485498
