anchor_profile,reference_profile,pearson_r,pearson_p,abs_r
delta_W*,MJ ε,0.8321654147571709,5.363854569721145e-06,0.8321654147571709
delta_W*,HPS-Urry λ,0.7229467096325447,0.0003166431434583456,0.7229467096325447
delta_W*,Bandyopadhyay-Mehler (2008),0.7827275801582753,4.514433185171513e-05,0.7827275801582753
delta_W*,Biou accessibility information value,0.856494030324253,1.4389107986219012e-06,0.856494030324253
delta_W*,Black-Mould (1991),0.7208699823132422,0.0003358098735564384,0.7208699823132422
delta_W*,Cornette (1987),0.728345284317727,0.0002711243893457908,0.728345284317727
delta_W*,Eisenberg (1984),0.5544157118523714,0.011186623201335259,0.5544157118523714
delta_W*,Engelman GES (1986),0.5801621239940848,0.007326200827052639,0.5801621239940848
delta_W*,FDewet_C36m (2024),0.7215536012819541,0.0003293943021019939,0.7215536012819541
delta_W*,FDewet_a03ws (2024),0.6487474433729773,0.0019720729531608368,0.6487474433729773
delta_W*,FDewet_a99SBdisp (2024),0.6772306189709818,0.0010375966631107718,0.6772306189709818
delta_W*,Hassanali_nBranch <nbr> (2023),0.6401611950302609,0.0023638285326579873,0.6401611950302609
delta_W*,Hopp-Woods (1981),0.7355769395602196,0.0002189848792617152,0.7355769395602196
delta_W*,Jain (2017),0.7638490910605602,8.865597316024051e-05,0.7638490910605602
delta_W*,Janin (1979),0.5722998668924472,0.008366712214936553,0.5722998668924472
delta_W*,Kyte-Doolittle (1982),0.5708329208099012,0.008573582041982733,0.5708329208099012
delta_W*,Meek (1980),0.6304295175103694,0.0028843332455013725,0.6304295175103694
delta_W*,PARCH (2023),0.48908915466909075,0.028634126720634936,0.48908915466909075
delta_W*,Ponnuswamy average gain in surrounding hydrophobicity,0.5961950031339525,0.005530832655725516,0.5961950031339525
delta_W*,Ponnuswamy surrounding hydrophobicity folded form,0.5765541823729489,0.007789685465511179,0.5765541823729489
delta_W*,Rose (1985),0.7997408731826078,2.3174049780519583e-05,0.7997408731826078
delta_W*,Tanford (1962),0.49756883062904333,0.02559271247034331,0.49756883062904333
delta_W*,Wimley-White (1996),0.7939451936190484,2.9283590580754118e-05,0.7939451936190484
