,delta_W*,Biou accessibility information value,MJ ε,Rose (1985),Wimley-White (1996),Bandyopadhyay-Mehler (2008)
delta_W*,1.0,0.8564940303242532,0.8321654147571713,0.799740873182608,0.7939451936190484,0.7827275801582753
Biou accessibility information value,0.8564940303242531,1.0,0.9500211676732143,0.980771477675312,0.7414435732206323,0.955702022387523
MJ ε,0.8321654147571713,0.9500211676732143,1.0,0.9151493722574164,0.7326344119468192,0.9064091218267766
Rose (1985),0.7997408731826079,0.980771477675312,0.9151493722574164,1.0,0.6859125356505942,0.9426270529010082
Wimley-White (1996),0.7939451936190484,0.7414435732206323,0.7326344119468192,0.6859125356505942,1.0,0.6935565013913931
Bandyopadhyay-Mehler (2008),0.7827275801582753,0.955702022387523,0.9064091218267766,0.9426270529010082,0.693556501391393,1.0
