PC1_1,PC1_2,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,n_AA
MOFF2 λ,MOFF2 Gaussian,0.0506658288569921,0.8320052832212883,-0.006015037593984962,0.9799209119891911,0.0506658288569921,0.006015037593984962,20
MOFF2 λ,delta_W*,0.8908359846818602,1.3982510142718846e-07,0.8902255639097743,1.466833096301323e-07,0.8908359846818602,0.8902255639097743,20
MOFF2 λ,MJ ε,0.9462577921481161,2.920142407690284e-10,0.9278195488721804,3.879148683992122e-09,0.9462577921481161,0.9278195488721804,20
MOFF2 λ,HPS-Urry λ,0.6395882670353177,0.0023921270145805403,0.6817337889537798,0.000931572133093971,0.6395882670353177,0.6817337889537798,20
MOFF2 λ,Density profile,0.3739974045712916,0.10427859036939409,0.35639097744360904,0.12298631080226882,0.3739974045712916,0.35639097744360904,20
MOFF2 λ,Bandyopadhyay-Mehler (2008),0.8657881781584876,8.160944990437932e-07,0.8406015037593983,3.483775929626355e-06,0.8657881781584876,0.8406015037593983,20
MOFF2 λ,Biou accessibility information value,0.9009735733989717,6.042217064500673e-08,0.8803614230338747,3.065609943127449e-07,0.9009735733989717,0.8803614230338747,20
MOFF2 λ,Black-Mould (1991),0.82951281549873,6.113781365510987e-06,0.8043644113018907,1.912381682841755e-05,0.82951281549873,0.8043644113018907,20
MOFF2 λ,Cornette (1987),0.8812343663700569,2.87957748382264e-07,0.8668174011410459,7.644596221785161e-07,0.8812343663700569,0.8668174011410459,20
MOFF2 λ,Eisenberg (1984),0.6761176848663524,0.0010653130685885032,0.7819548872180451,4.6467758941161795e-05,0.6761176848663524,0.7819548872180451,20
MOFF2 λ,Engelman GES (1986),0.6402412444447785,0.0023598970147071224,0.7548872180451127,0.00011960282700609452,0.6402412444447785,0.7548872180451127,20
MOFF2 λ,FDewet_C36m (2024),0.7343423657176612,0.00022722418092943793,0.8138398469480826,1.2694288232327175e-05,0.7343423657176612,0.8138398469480826,20
MOFF2 λ,FDewet_a03ws (2024),0.6614007483393703,0.0014946863402835909,0.8735894120874602,4.904209073165155e-07,0.6614007483393703,0.8735894120874602,20
MOFF2 λ,FDewet_a99SBdisp (2024),0.6983839210581421,0.0006151932848223531,0.7702144207715682,7.11075338097597e-05,0.6983839210581421,0.7702144207715682,20
MOFF2 λ,Hassanali_nBranch <nbr> (2023),0.5893599216159079,0.006245861875822457,0.6,0.005162925673676805,0.5893599216159079,0.6,20
MOFF2 λ,Hopp-Woods (1981),0.7709402251674706,6.93112110786888e-05,0.863201802970862,9.595381579810153e-07,0.7709402251674706,0.863201802970862,20
