,Jain (2017),Cornette (1987),Biou accessibility information value,Bandyopadhyay-Mehler (2008),MOFF2 λ,MJ ε
Jain (2017),1.0,0.8206612932581495,0.872435671135802,0.850893240855523,0.8604644994051404,0.9103692913679757
Cornette (1987),0.8206612932581495,1.0,0.8768216926330937,0.8725555345269596,0.8812343663700568,0.9071254613727439
Biou accessibility information value,0.8724356711358019,0.8768216926330937,1.0,0.955702022387523,0.9009735733989716,0.9500211676732143
Bandyopadhyay-Mehler (2008),0.8508932408555231,0.8725555345269596,0.955702022387523,1.0,0.8657881781584876,0.9064091218267766
MOFF2 λ,0.8604644994051404,0.8812343663700567,0.9009735733989717,0.8657881781584876,1.0,0.9462577921481163
MJ ε,0.9103692913679757,0.9071254613727437,0.9500211676732143,0.9064091218267766,0.9462577921481163,1.0
