protein,Rg (nm)
alpha3d,1.273745
bba,1.256018
bbl,1.477492
engrailed,1.096449
gpw,1.22415
lambda-repressor,1.219512
NTL9,1.368107
Protein-B,0.987757
BPTI,1.036895
calmodulin,2.03698
